Benchmark,SaDiCaL,dpr-trim,pr2drat,drat-trim,CakeML (LPR, cam),CakeML (LRAT, cam),CakeML (LPR),CakeML (LRAT),ACL2,Coq,gratgen,gratchk
hole20,0.95,0.547,0.828,4.446,0.747,18.45,0.887,18.084,7.934,966.703,4.6,18.221
hole30,6.861,2.417,6.803,61.398,6.079,180.367,6.803,207.1,105.918,TIMEOUT,24.523,647.946
hole40,31.267,9.95,32.354,460.043,25.068,1039.532,29.571,1142.785,711.811,TIMEOUT,101.321,TIMEOUT
hole50,101.661,35.532,108.647,2662.996,87.933,4697.351,100.881,4859.031,3292.211,TIMEOUT,337.229,TIMEOUT
mchess15,18.455,1.147,7.685,48.19,2.061,49.344,2.229,60.309,36.22,TIMEOUT,48.404,2023.124
mchess16,21.661,1.249,9.049,62.017,2.067,59.803,2.374,69.9,53.165,TIMEOUT,55.156,2903.78
mchess17,34.778,1.55,14.476,105.021,3.427,97.318,3.734,118.226,88.473,TIMEOUT,86.132,7050.898
mchess18,59.755,2.3,25.05,195.019,5.19,152.685,5.518,183.516,296.783,TIMEOUT,135.855,TIMEOUT
mchess19,TIMEOUT,-,-,-,-,-,-,-,-,-,-,-
Urquhart-s3-b1,0.144,0.646,0.185,0.329,0.078,0.267,0.204,0.401,0.583,1.171,1.183,0.325
Urquhart-s3-b2,0.104,0.332,0.056,0.229,0.123,0.294,0.184,0.573,0.231,1.666,0.789,0.465
Urquhart-s3-b3,0.078,0.394,0.059,0.262,0.123,0.402,0.171,0.615,0.291,2.605,0.81,0.746
Urquhart-s3-b4,0.098,0.411,0.063,0.26,0.148,0.357,0.258,0.492,0.316,2.417,0.81,0.575
Urquhart-s4-b1,0.673,0.603,0.541,2.474,0.345,3.594,0.516,4.808,3.309,135.705,3.635,44.803
Urquhart-s4-b2,0.253,0.394,0.189,0.826,0.195,1.365,0.252,1.756,1.043,23.24,1.73,8.201
Urquhart-s4-b3,0.364,0.4,0.306,1.32,0.234,1.964,0.354,2.63,1.483,49.234,2.354,16.229
Urquhart-s4-b4,0.32,0.531,0.275,1.054,0.294,1.756,0.278,2.298,1.431,38.332,1.955,10.309
Urquhart-s5-b1,2.494,0.903,4.236,13.568,1.335,16.652,1.63,20.337,12.461,3048.656,17.384,933.166
Urquhart-s5-b2,1.151,0.614,1.704,5.609,0.657,7.267,0.87,9.517,5.48,614.672,7.709,189.628
Urquhart-s5-b3,3.194,1.549,5.005,18.391,2.008,26.303,2.496,30.388,22.177,8750.533,21.05,2316.32
Urquhart-s5-b4,5.454,1.465,11.278,34.235,3.214,36.894,4.142,44.934,30.068,TIMEOUT,40.554,TIMEOUT
